Occupational category,Occupation type,Number,Total workers with a disability,Ambulatory difficulty Percent,Hearing difficulty Percent,Cognitive difficulty Percent,Vision difficulty Percent,Independent living difficulty Percent,Self-care difficulty Percent
Chief executives,Detailed,"59,150","59,150",33.0,48.3,9.9,21.3,12.9,8.3
General and operations managers,Detailed,"39,835","39,835",32.6,34.7,21.5,25.0,9.5,5.3
Legislators,Detailed,-,-,-,-,,,-,-
Advertising and promotions managers,Detailed,-,-,-,-,-,-,-,-
Marketing and sales managers,Detailed,"30,530","30,530",28.7,31.2,25.7,20.3,14.2,6.9
Public relations and fundraising managers,Detailed,-,-,-,-,-,-,-,-
Administrative services managers,Detailed,"9,470","9,470",36.2,46.2,10.7,21.9,10.0,3.4
Computer and information systems managers,Detailed,"21,900","21,900",40.7,31.5,17.3,19.8,14.2,10.3
Financial managers,Detailed,"39,530","39,530",35.5,31.7,15.1,26.5,10.5,5.9
Compensation and benefits managers,Detailed,-,-,-,-,-,-,-,-
Human resources managers,Detailed,"19,055","19,055",35.1,32.7,22.2,26.2,12.0,7.9
Training and development managers,Detailed,-,-,-,-,-,-,-,-
Industrial production managers,Detailed,"11,415","11,415",36.3,43.7,14.3,27.1,6.0,5.5
Purchasing managers,Detailed,"8,585","8,585",27.9,41.2,20.3,21.4,11.2,6.4
"Transportation, storage, and distribution managers",Detailed,"11,740","11,740",38.4,35.3,14.7,25.2,8.4,5.6
"Farmers, ranchers, and other agricultural managers",Detailed,"49,815","49,815",31.7,57.1,17.7,14.9,11.1,5.0
Construction managers,Detailed,"43,435","43,435",30.8,45.8,19.2,19.4,8.4,8.6
Education administrators,Detailed,"38,815","38,815",36.0,36.9,14.0,22.0,8.9,8.4
Architectural and engineering managers,Detailed,-,-,-,-,-,-,-,-
Food service managers,Detailed,"43,825","43,825",30.6,27.5,31.4,23.6,16.4,8.7
Funeral service managers,Detailed,-,-,-,-,-,-,-,-
Gaming managers,Detailed,-,-,-,-,-,-,-,-
Lodging managers,Detailed,"6,905","6,905",36.7,30.4,16.6,29.8,10.9,4.4
Medical and health services managers,Detailed,"34,345","34,345",44.2,31.2,14.9,24.2,13.3,7.9
Natural sciences managers,Detailed,-,-,-,-,-,-,-,-
Postmasters and mail superintendents,Detailed,-,-,-,-,-,-,-,-
"Property, real estate, and community association managers",Detailed,"43,620","43,620",41.0,34.9,22.6,20.6,16.0,5.9
Social and community service managers,Detailed,"20,195","20,195",36.2,32.7,17.8,20.5,12.3,3.8
Emergency management directors,Detailed,-,-,-,-,-,-,-,-
"Managers, all other",Detailed,"216,450","216,450",32.4,40.0,18.8,22.4,10.3,6.7
"Agents and business managers of artists, performers, and athletes",Detailed,-,-,-,-,-,-,-,-
"Buyers and purchasing agents, farm products",Detailed,-,-,-,-,-,-,-,-
"Wholesale and retail buyers, except farm products",Detailed,"12,180","12,180",30.3,39.0,25.3,13.2,17.6,4.6
"Purchasing agents, except wholesale, retail, and farm products",Detailed,"15,205","15,205",30.9,35.9,18.6,19.0,12.6,6.2
"Claims adjusters, appraisers, examiners, and investigators",Detailed,"15,190","15,190",39.7,27.1,20.3,23.9,11.5,4.2
Compliance officers,Detailed,"14,980","14,980",38.2,36.8,17.7,18.7,8.0,4.5
Cost estimators,Detailed,"8,860","8,860",38.1,48.3,14.1,17.5,8.2,7.4
Human resources workers,Detailed,"35,125","35,125",35.9,25.7,23.0,30.0,11.1,9.3
"Compensation, benefits, and job analysis specialists",Detailed,-,-,-,-,-,-,-,-
Training and development specialists,Detailed,"9,535","9,535",22.5,36.4,23.4,25.1,9.5,4.1
Logisticians,Detailed,"7,485","7,485",36.4,41.1,25.7,21.0,11.7,6.6
Management analysts,Detailed,"41,845","41,845",33.9,39.3,22.0,21.5,15.1,8.3
"Meeting, convention, and event planners",Detailed,-,-,-,-,-,-,-,-
Fundraisers,Detailed,-,-,-,-,-,-,-,-
Market research analysts and marketing specialists,Detailed,"8,570","8,570",21.3,22.8,36.4,19.8,17.2,3.6
"Business operations specialists, all other",Detailed,"17,270","17,270",34.3,25.5,26.8,18.8,15.0,6.6
Accountants and auditors,Detailed,"83,905","83,905",35.7,35.4,19.5,21.8,13.3,7.2
Appraisers and assessors of real estate,Detailed,"5,430","5,430",25.0,45.6,15.7,24.9,7.9,3.6
Budget analysts,Detailed,-,-,-,-,-,-,-,-
Credit analysts,Detailed,-,-,-,-,-,-,-,-
Financial analysts,Detailed,"8,230","8,230",22.1,35.6,28.3,32.9,7.2,4.0
Personal financial advisors,Detailed,"14,135","14,135",35.0,44.9,17.8,22.9,12.9,10.6
