"Main barrier businesses or organizations face in adopting more green practices in the next 12 months 1 2 3"
"Frequency: Occasional"
"Table: 33-10-0374-01"
"Release date: 2021-08-27"
"Geography: Canada, Province or territory"
""
""

,"Canada",,,,
"Business characteristics","COVID-19 has delayed the business's or organization's plans for green projects","The business or organization doesn’t have the financial resources","The business's or organization's clients aren’t willing to pay a higher price","Other main barrier","None"
,"Percent",,,,
"North American Industry Classification System (NAICS), all industries","6.7","14.4","15.2","5.0","58.7"
"Agriculture, forestry, fishing and hunting  [11]","4.5","18.1","21.0","3.3","53.1"
"Mining, quarrying, and oil and gas extraction  [21]","4.1","7.7","21.9","1.3","65.0"
"Construction  [23]","3.8","12.5","24.5","4.1","55.1"
"Manufacturing  [31-33]","12.8","17.9","20.1","6.1","43.2"
"Wholesale trade  [41]","5.3","6.9","23.8","4.8","59.1"
"Retail trade  [44-45]","8.2","14.3","16.7","2.8","58.0"
"Transportation and warehousing  [48-49]","4.8","11.1","14.6","4.2","65.3"
"Information and cultural industries  [51]","11.1","13.1","8.4","8.0","59.4"
"Finance and insurance  [52]","4.6","6.4","7.1","3.0","79.0"
"Real estate and rental and leasing  [53]","4.3","11.3","11.9","3.3","69.2"
"Professional, scientific and technical services  [54]","4.4","11.7","6.7","7.0","70.3"
"Administrative and support, waste management and remediation services  [56]","4.7","12.3","24.3","4.4","54.3"
"Health care and social assistance  [62]","10.0","15.2","7.8","3.8","63.2"
"Arts, entertainment and recreation  [71]","8.0","25.5","7.7","4.5","54.2"
"Accommodation and food services  [72]","15.5","26.4","16.6","6.6","34.8"
"Other services (except public administration)  [81]","3.6","18.2","14.0","8.8","55.5"
"Business or organization size of employment, all employment sizes 4","6.7","14.4","15.2","5.0","58.7"
"1 to 4 employees","4.3","14.2","14.8","4.4","62.3"
"5 to 19 employees","9.0","16.8","15.8","6.0","52.5"
"20 to 99 employees","11.3","9.5","16.5","4.9","57.7"
"100 or more employees","14.4","7.6","12.1","6.3","59.6"
"Business or organization type, all businesses or organizations","6.7","14.4","15.2","5.0","58.7"
"Government agencies","4.8","7.9","2.7","3.3","81.2"
"Private sector businesses","6.7","13.6","16.1","4.8","58.8"
"Non-profit organizations","6.3","27.7","3.2","7.6","55.2"
"Non-profit organizations serving households or individuals","5.6","29.9","3.3","5.1","56.1"
"Non-profit organizations serving businesses","10.1","15.8","2.3","21.2","50.6"
"Age of business or organization, all ages","6.7","14.4","15.2","5.0","58.7"
"Age of business or organization, 2 years or less","10.9","15.7","15.1","4.5","53.9"
"Age of business or organization, 3 to 10 years old","6.6","16.7","14.5","4.6","57.6"
"Age of business or organization, 11 to 20 years old","8.0","12.4","12.8","5.5","61.4"
"Age of business or organization, more than 20 years old","5.1","13.7","17.6","5.0","58.6"
"Geography, all geography","6.7","14.4","15.2","5.0","58.7"
"Urban","7.0","14.4","15.1","5.1","58.4"
"Rural","5.1","14.5","16.2","4.3","60.0"
"Majority ownership, all ownerships 5","6.7","13.6","16.1","4.8","58.8"
"Majority ownership, woman","8.7","16.9","13.6","4.4","56.4"
"Majority ownership, First Nations, Métis or Inuit","12.8","14.5","19.9","5.7","47.1"
"Majority ownership, immigrant to Canada","7.2","19.9","15.1","2.8","54.9"
"Majority ownership, person with a disability","2.3","26.2","27.3","1.1","43.0"
"Majority ownership, member of LGBTQ2 community 6","4.0","16.6","7.9","8.4","63.1"
"Majority ownership, visible minority","8.0","19.7","16.4","3.5","52.4"
"Ownership by visible minority, all visible minorities 7","8.0","19.7","16.4","3.5","52.4"
"Ownership by visible minority, South Asian","12.4","17.2","15.7","3.6","51.2"
"Ownership by visible minority, Chinese","5.8","19.0","14.3","3.3","57.6"
"Ownership by visible minority, Black","17.5","29.1","4.1","1.5","47.8"
"Ownership by visible minority, Filipino","20.1","F","3.4","0.7","F"
"Ownership by visible minority, Latin American","13.7","21.6","8.5","0.0","56.2"
"Ownership by visible minority, Arab","1.3","11.6","28.7","4.6","53.8"
"Ownership by visible minority, Southeast Asian","4.6","47.0","17.9","0.8","29.6"
"Ownership by visible minority, West Asian","2.9","30.9","26.4","13.3","26.5"
"Ownership by visible minority, Korean","1.6","7.1","7.8","0.7","82.8"
"Ownership by visible minority, Japanese","F","3.5","F","0.1","4.2"
"Ownership by visible minority, other visible minority","3.1","21.9","27.4","0.2","47.5"
"Ownership by visible minority, preferred not to say","1.4","12.6","13.1","0.3","72.5"
"Business or organization activity in the last 12 months, all business or organization activities","6.7","14.4","15.2","5.0","58.7"
"Exported goods outside of Canada","11.2","16.2","22.9","4.1","45.6"
"Exported services outside of Canada","7.7","16.7","12.9","5.9","56.8"
"Made investments outside of Canada","7.0","13.0","11.8","0.5","67.8"
"Sold goods to businesses in Canada who then resold them outside of Canada","7.1","18.5","27.3","2.2","44.9"
"Imported goods from outside of Canada","8.2","16.1","25.0","4.6","46.1"
"Imported services from outside of Canada","11.7","12.8","26.5","4.0","44.9"
"Relocated any business or organizational activities or employees from another country into Canada","27.3","4.9","11.8","2.3","53.7"
"Engaged in other international business activities","12.4","12.9","11.4","1.7","61.5"
"Business or organization activity, none or other","6.5","14.1","14.3","5.1","60.0"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable



Footnotes:
1,"Source: Statistics Canada, Canadian Survey on Business Conditions, third quarter of 2021"
2,"Estimates are subject to sampling error. This error can be expressed as a standard error. All estimates contained in this table have been assigned a letter value to indicate the quality of the estimate, as measured by the standard error (expressed as a percentage). A = Excellent (0.00% to less than 2.50%), B = Very good (2.50% to less than 5.00%), C = Good (5.00% to less than 7.50%), D = Acceptable (7.50% to less than 10.00%), E = Use with caution (10.00% to less than 15.00%), F = Too unreliable to be published (Greater than or equal to 15%, data are suppressed)."
3,"Figures may not add to 100% due to rounding."
4,"This includes all employees who would receive a Statement of Renumeration Paid (T4).  Excluded from number of employees are business owners, contract workers and other personnel who would not receive a T4."
5,"Majority ownership is defined at 51% or more. Majority-ownership was reported for private sector businesses only."
6,"The term LGBTQ2 refers to persons who identify as lesbian, gay, bisexual, transgender, queer and/or two-spirited."
7,"Respondents were asked if the business or organization identified as being majority owned (51% or more) by any visible minority. If so, the business or organization was asked to identify all visible minority types that made up majority ownership. Figures may not represent majority ownership by a specific visible minority."



"How to cite: Statistics Canada. Table 33-10-0374-01  Main barrier businesses or organizations face in adopting more green practices in the next 12 months"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310037401
