"Physical flow account for greenhouse gas emissions 1 2 3 4 5 6 7 8 9 10 11"
"Frequency: Annual"
"Table: 38-10-0097-01 (formerly CANSIM 153-0114)"
"Release date: 2021-03-26"
"Geography: Canada, Province or territory"
""
""

"Geography","Sector","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Canada",,"Kilotonnes",,,,,,,,,
,"Total, industries and households","736,212","750,496","762,978","767,993","780,609","784,033","784,845","763,249","777,135","795,214"
,"Total, industries","598,129","610,503","618,522","627,191","634,648","638,490","641,922","622,888","632,590","643,461"
,"Total, households","138,082","139,993","144,456","140,802","145,961","145,543","142,924","140,362","144,545","151,753"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","680,494","690,531","702,412","710,107","720,877","721,354","720,378","706,194","713,837","729,348"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-55,718","-59,965","-60,565","-57,886","-59,732","-62,680","-64,467","-57,055","-63,298","-65,866"
"Newfoundland and Labrador","Total, industries and households","10,335","10,451","10,489","10,146","10,254","11,291","11,809","12,314","12,076","12,303"
,"Total, industries","7,742","7,897","7,622","7,295","7,532","8,311","8,945","9,281","8,884","9,167"
,"Total, households","2,593","2,555","2,867","2,851","2,722","2,980","2,865","3,033","3,192","3,136"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","10,078","10,016","10,271","9,871","9,960","10,878","10,929","11,143","11,037","11,009"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-258","-435","-217","-275","-294","-413","-880","-1,171","-1,039","-1,293"
"Prince Edward Island","Total, industries and households","1,984","2,040","2,263","2,161","1,844","1,862","1,813","1,906","1,917","1,906"
,"Total, industries","906","973","1,050","1,008","811","870","865","928","911","945"
,"Total, households","1,078","1,067","1,213","1,153","1,034","992","948","978","1,005","961"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","1,968","2,001","2,158","2,070","1,754","1,698","1,629","1,696","1,703","1,678"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-17","-39","-106","-91","-91","-164","-185","-210","-213","-227"
"Nova Scotia","Total, industries and households","24,164","23,169","23,473","21,350","19,880","18,460","18,330","17,255","17,906","18,927"
,"Total, industries","18,983","17,763","17,462","15,492","14,501","13,387","12,849","11,978","12,457","13,144"
,"Total, households","5,181","5,406","6,010","5,857","5,380","5,074","5,480","5,277","5,450","5,783"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","20,719","20,434","21,081","19,414","18,432","16,586","16,728","15,624","16,231","17,009"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-3,445","-2,736","-2,392","-1,935","-1,448","-1,874","-1,601","-1,631","-1,676","-1,918"
"New Brunswick","Total, industries and households","21,636","20,624","21,382","19,614","17,685","16,338","17,257","18,573","18,039","17,823"
,"Total, industries","17,972","16,793","16,970","15,437","14,186","12,953","13,404","14,526","14,201","14,023"
