"Potable water volumes processed by drinking water plants, by source water type (x 1,000,000) 1 2 3 4"
"Frequency: Occasional"
"Table: 38-10-0092-01 (formerly CANSIM 153-0105)"
"Release date: 2021-08-17"
"Geography: Canada, Province or territory, Drainage region"
""
""

"Geography","Type of water source","2011","2013","2015","2017","2019"
"Canada 5",,"Cubic metres",,,,
,"All source water types","5,123.7","5,032.8","5,020.8","4,888.4","4,866.1"
,"Surface water 6","4,542.7","4,436.9","4,426.5","4,291.1","4,280.3"
,"Groundwater and groundwater under the direct influence of surface water (GUDI) 7 8","..","..","..","..",".."
,"Groundwater 7","513.2","509.8","505.5","503.4","479.9"
,"Groundwater under the direct influence of surface water (GUDI) 8","67.7","86.1","88.8","93.9","105.9"
"Newfoundland and Labrador","All source water types","121.8","130.8","128.1","127.4","120.8"
,"Surface water 6","115.8","126.4","119.6","120.4","113.8"
,"Groundwater and groundwater under the direct influence of surface water (GUDI) 7 8","..","..","..","..",".."
,"Groundwater 7","5.6","3.5","7.4","6.8","6.7"
,"Groundwater under the direct influence of surface water (GUDI) 8","0.4","0.9","1.1","0.3","0.3"
"Prince Edward Island","All source water types","11.4","12.1","11.3","11.3","11.4"
,"Surface water 6","0.0","0.0","0.0","0.0","0.0"
,"Groundwater and groundwater under the direct influence of surface water (GUDI) 7 8","..","..","..","..",".."
,"Groundwater 7","11.4","12.1","11.3","11.2","11.3"
,"Groundwater under the direct influence of surface water (GUDI) 8","0.0","0.0","0.0","0.1","0.1"
"Nova Scotia","All source water types","97.2","94.0","90.6","84.0","84.6"
,"Surface water 6","82.0","77.9","75.7","69.1","69.0"
,"Groundwater and groundwater under the direct influence of surface water (GUDI) 7 8","..","..","..","..",".."
,"Groundwater 7","14.9","15.6","14.5","13.6","14.5"
,"Groundwater under the direct influence of surface water (GUDI) 8","0.3","0.5","0.5","1.2","1.2"
"New Brunswick","All source water types","89.6","94.7","100.1","92.5","74.1"
,"Surface water 6","60.6","65.4","70.8","60.7","39.1"
,"Groundwater and groundwater under the direct influence of surface water (GUDI) 7 8","..","..","..","..",".."
,"Groundwater 7","26.0","27.3","28.3","27.4","30.6"
,"Groundwater under the direct influence of surface water (GUDI) 8","3.0","2.0","0.9","4.4","4.4"
"Quebec","All source water types","1,645.7","1,577.4","1,551.0","1,457.5","1,477.3"
,"Surface water 6","1,480.3","1,393.2","1,369.3","1,281.0","1,300.5"
