"Inventory distribution of publicly owned potable water assets by physical condition rating, Infrastructure Canada 1 2"
"Frequency: Occasional"
"Table: 34-10-0196-01"
"Release date: 2020-11-23"
"Geography: Canada, Province or territory"
""
""

,,"2016",,,,,,"2018",,,,,
"Geography","Potable water assets","Very poor 3","Poor 4","Fair 5","Good 6","Very good 7","Physical condition unknown","Very poor 3","Poor 4","Fair 5","Good 6","Very good 7","Physical condition unknown"
"Canada",,"Percentage",,,,,,,,,,,
,"Water treatment facilities","2.0","3.7","14.5","36.6","40.2","3.0","2.1","4.7","x","x","32.4","8.6"
,"Water reservoirs (including dams) before intake 8","2.4","6.4","16.8","40.8","25.2","8.5","3.7","6.2","16.8","29.0","22.4","22.0"
,"Storage tanks after intake not part of a treatment plant","2.1","4.0","14.3","46.1","29.8","3.8","2.2","4.6","15.6","x","x","9.1"
,"Water pump stations 9","2.2","4.1","15.1","39.3","33.2","6.1","1.8","6.0","17.3","x","x","10.6"
,"Local water pipes (diameter less than 416 mm) 10","3.1","6.7","18.3","36.3","31.6","4.1","4.3","7.3","x","33.1","25.3","x"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","1.8","4.8","12.1","40.7","24.6","15.9","1.5","6.9","x","46.3","18.5","x"
,"Pipes of unknown diameter","10.8","5.1","14.3","20.9","18.4","30.6","4.8","4.5","10.2","18.0","8.2","54.2"
"Newfoundland and Labrador ","Water treatment facilities","3.8","0.0","14.1","37.7","41.3","3.0","2.6","2.9","16.3","49.0","21.1","8.0"
,"Water reservoirs (including dams) before intake 8","2.8","2.8","24.2","48.4","20.5","1.4","5.9","6.7","13.7","34.2","22.2","17.3"
,"Storage tanks after intake not part of a treatment plant","6.4","2.7","10.4","35.6","41.7","3.2","1.5","0.8","9.3","44.3","35.9","8.2"
,"Water pump stations 9","2.3","0.0","20.1","30.4","44.9","2.3","0.4","5.8","23.9","41.0","18.6","10.3"
,"Local water pipes (diameter less than 416 mm) 10","1.9","15.8","22.9","30.2","26.4","2.8","2.8","8.9","25.6","30.4","13.8","18.5"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","0.0","9.3","14.1","46.7","29.9","0.0","0.0","0.3","14.0","28.9","18.4","38.4"
,"Pipes of unknown diameter","0.0","7.9","4.4","18.8","33.6","35.3","16.3","4.6","17.5","8.0","3.5","50.0"
"Prince Edward Island ","Water treatment facilities","0.0","0.0","20.0","60.0","20.0","0.0","0.0","0.0","18.9","53.6","13.1","14.5"
,"Water reservoirs (including dams) before intake 8","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","67.7","0.0","32.3","0.0"
,"Storage tanks after intake not part of a treatment plant","0.0","0.0","0.0","71.4","28.6","0.0","0.0","21.5","36.1","21.6","0.0","20.8"
,"Water pump stations 9","0.0","0.0","23.6","50.7","25.7","0.0","0.0","19.3","0.3","48.7","19.0","12.7"
,"Local water pipes (diameter less than 416 mm) 10","0.0","0.0","15.3","58.6","26.1","0.0","3.2","2.7","40.1","46.9","5.9","1.2"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","0.0","0.0","15.0","76.7","8.3","0.0","0.0","0.0","18.7","81.3","0.0","0.0"
,"Pipes of unknown diameter","0.0","2.0","2.0","25.0","71.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Nova Scotia ","Water treatment facilities","0.0","0.6","19.1","47.4","32.9","0.0","0.0","4.4","17.8","43.8","31.2","2.8"
,"Water reservoirs (including dams) before intake 8","12.8","1.4","22.3","41.7","21.8","0.0","3.4","2.5","21.8","26.1","26.8","19.5"
,"Storage tanks after intake not part of a treatment plant","1.2","8.7","18.6","46.0","25.5","0.0","3.5","8.4","19.0","28.6","32.9","7.6"
,"Water pump stations 9","5.6","6.5","14.5","42.3","31.1","0.0","0.4","4.0","9.9","38.3","29.4","18.0"
,"Local water pipes (diameter less than 416 mm) 10","6.8","14.0","26.5","27.2","24.9","0.6","3.7","8.9","16.8","31.6","30.1","8.9"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","5.9","14.6","24.7","29.8","25.0","0.0","0.1","0.1","13.2","7.6","19.3","59.8"
,"Pipes of unknown diameter","5.5","9.5","24.0","15.8","10.7","34.4","7.1","11.5","49.9","18.8","12.8","0.0"
"New Brunswick ","Water treatment facilities","0.0","0.0","9.3","29.7","56.1","4.9","1.8","0.8","11.1","39.5","36.9","9.9"
,"Water reservoirs (including dams) before intake 8","3.0","0.0","30.3","25.2","41.6","0.0","3.7","6.1","11.8","28.7","32.0","17.7"
,"Storage tanks after intake not part of a treatment plant","3.8","1.2","14.4","27.8","49.5","3.2","2.0","2.7","12.8","27.4","45.3","9.7"
,"Water pump stations 9","2.3","0.3","9.0","30.2","36.0","22.3","3.9","6.1","12.9","40.5","32.7","4.0"
,"Local water pipes (diameter less than 416 mm) 10","2.6","4.1","13.2","23.0","47.2","9.9","5.6","8.3","21.6","30.7","21.1","12.6"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","1.2","4.9","16.7","47.0","30.1","0.0","3.1","6.2","9.3","38.3","23.5","19.5"
,"Pipes of unknown diameter","0.0","0.0","97.6","0.0","0.0","2.4","1.4","4.0","1.4","16.4","0.1","76.7"
"Quebec ","Water treatment facilities","1.1","1.5","7.7","26.6","63.1","0.0","1.2","3.6","x","x","50.6","7.4"
,"Water reservoirs (including dams) before intake 8","2.2","0.7","9.5","34.2","53.4","0.0","0.5","2.5","10.6","29.6","30.1","26.7"
,"Storage tanks after intake not part of a treatment plant","1.7","4.3","12.3","43.3","37.9","0.5","0.8","2.1","10.8","x","x","12.4"
,"Water pump stations 9","0.9","3.9","12.4","31.7","51.1","0.0","2.0","3.8","12.0","x","x","8.2"
,"Local water pipes (diameter less than 416 mm) 10","2.0","5.1","19.9","37.7","33.2","2.1","2.7","7.2","x","29.9","28.0","x"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","2.1","15.6","20.5","39.0","17.6","5.3","2.0","10.7","x","31.6","21.9","x"
,"Pipes of unknown diameter","35.5","0.8","14.6","7.6","31.6","10.0","6.7","3.3","12.0","30.1","15.7","32.3"
"Ontario","Water treatment facilities","2.4","4.8","20.8","42.0","23.1","7.0","5.4","4.5","24.1","37.4","18.9","9.7"
,"Water reservoirs (including dams) before intake 8","0.0","17.6","15.9","25.4","24.9","16.3","9.2","0.9","14.2","25.6","18.0","32.0"
,"Storage tanks after intake not part of a treatment plant","1.7","3.4","19.4","44.8","25.0","5.8","4.3","4.8","21.3","44.1","18.0","7.6"
,"Water pump stations 9","4.6","5.4","21.8","37.6","20.6","10.1","4.8","5.4","22.0","36.3","19.3","12.3"
,"Local water pipes (diameter less than 416 mm) 10","5.5","7.2","19.6","34.3","29.7","3.7","5.3","6.1","17.1","36.4","24.6","10.5"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","2.7","3.8","11.7","47.1","29.0","5.8","2.9","6.6","28.6","23.2","27.7","11.0"
,"Pipes of unknown diameter","15.0","9.7","15.7","21.3","23.5","14.8","1.9","3.6","3.8","10.8","0.9","79.0"
"Manitoba","Water treatment facilities","3.2","5.3","20.4","38.2","32.9","0.0","0.1","8.9","16.0","35.5","34.1","5.4"
,"Water reservoirs (including dams) before intake 8","7.6","0.0","14.0","57.4","21.0","0.0","1.7","9.9","14.2","17.9","13.5","42.9"
,"Storage tanks after intake not part of a treatment plant","6.3","0.0","30.8","45.4","17.4","0.0","0.2","2.0","26.2","47.4","9.6","14.6"
,"Water pump stations 9","3.5","2.2","7.6","46.1","40.7","0.0","0.0","2.3","21.3","37.7","29.5","9.1"
,"Local water pipes (diameter less than 416 mm) 10","2.1","9.7","12.4","34.0","40.4","1.4","11.0","7.7","15.8","25.5","34.5","5.6"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","3.9","2.3","9.8","54.3","26.6","3.1","2.8","5.5","18.4","40.3","8.5","24.6"
,"Pipes of unknown diameter","0.0","30.0","0.0","39.1","30.9","0.0","5.4","6.0","5.7","45.6","0.9","36.3"
"Saskatchewan","Water treatment facilities","3.4","6.2","9.6","33.9","45.7","1.3","1.8","7.7","19.1","28.3","30.4","12.8"
,"Water reservoirs (including dams) before intake 8","0.0","0.0","15.4","40.4","35.8","8.5","5.0","5.8","25.8","27.6","20.9","14.7"
,"Storage tanks after intake not part of a treatment plant","2.8","5.1","13.8","61.6","12.1","4.6","0.1","3.8","16.6","48.9","26.5","4.2"
,"Water pump stations 9","1.4","5.2","15.1","42.4","26.8","9.1","1.1","3.9","18.5","30.6","30.5","15.4"
,"Local water pipes (diameter less than 416 mm) 10","1.6","5.7","17.8","30.4","32.3","12.2","3.6","8.4","18.7","36.4","19.6","13.4"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","0.0","0.3","2.0","13.3","2.8","81.7","0.3","10.0","2.7","82.6","1.6","2.7"
,"Pipes of unknown diameter","0.0","0.0","0.0","20.9","6.9","72.2","3.6","10.2","26.3","34.1","2.8","23.0"
"Alberta","Water treatment facilities","1.4","4.3","16.7","40.1","33.3","4.1","1.1","6.5","13.2","38.1","33.2","7.9"
,"Water reservoirs (including dams) before intake 8","1.3","8.8","10.0","54.2","22.8","3.0","3.2","11.3","17.8","31.1","16.4","20.2"
,"Storage tanks after intake not part of a treatment plant","1.3","3.2","9.9","41.4","32.9","11.2","1.6","5.9","9.6","37.2","30.9","14.8"
,"Water pump stations 9","1.7","3.8","13.1","39.8","33.4","8.1","0.5","5.5","13.1","37.0","28.8","15.1"
,"Local water pipes (diameter less than 416 mm) 10","1.6","3.3","9.1","45.6","37.2","3.1","2.2","4.3","15.0","38.3","35.3","4.9"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","1.0","0.9","7.0","44.0","43.7","3.4","0.8","1.0","5.3","35.3","52.0","5.6"
,"Pipes of unknown diameter","0.0","0.8","11.4","38.2","6.4","43.1","3.0","3.8","11.7","14.4","24.4","42.7"
"British Columbia","Water treatment facilities","3.0","4.2","11.5","43.6","35.7","1.9","0.5","5.4","15.8","40.4","32.2","5.6"
,"Water reservoirs (including dams) before intake 8","2.3","6.6","20.5","42.2","12.5","15.9","3.4","7.9","16.7","30.5","18.7","22.8"
,"Storage tanks after intake not part of a treatment plant","2.5","4.6","11.4","52.4","26.4","2.8","2.9","6.5","17.6","36.7","29.9","6.4"
,"Water pump stations 9","2.2","4.0","16.1","49.4","18.9","9.3","1.6","10.0","22.4","39.1","18.3","8.6"
,"Local water pipes (diameter less than 416 mm) 10","2.2","8.7","23.8","35.2","22.0","8.2","4.4","10.4","26.1","29.1","17.6","12.4"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","2.0","4.7","19.6","49.7","17.5","6.5","1.8","4.5","14.2","38.5","12.3","28.7"
,"Pipes of unknown diameter","0.0","9.0","23.2","3.9","1.4","62.6","2.4","3.9","4.9","2.1","2.0","84.8"
"Yukon","Water treatment facilities","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","16.7","50.0","33.3","0.0"
,"Water reservoirs (including dams) before intake 8","..","..","..","..","..","..","100.0","0.0","0.0","0.0","0.0","0.0"
,"Storage tanks after intake not part of a treatment plant","0.0","0.0","38.9","61.1","0.0","0.0","0.0","0.0","43.3","56.7","0.0","0.0"
,"Water pump stations 9","0.0","0.0","50.0","50.0","0.0","0.0","8.3","0.0","37.5","54.2","0.0","0.0"
,"Local water pipes (diameter less than 416 mm) 10","1.4","3.5","2.8","0.1","0.0","92.1","0.0","0.0","4.7","0.0","7.9","87.4"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0"
,"Pipes of unknown diameter","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0"
"Northwest Territories","Water treatment facilities","0.0","0.0","0.0","34.5","65.5","0.0","0.0","0.0","12.1","52.8","29.9","5.2"
,"Water reservoirs (including dams) before intake 8","0.0","0.0","34.6","50.0","15.4","0.0","0.0","0.0","50.8","6.0","16.0","27.2"
,"Storage tanks after intake not part of a treatment plant","0.0","0.0","33.3","66.7","0.0","0.0","0.0","0.0","0.0","50.8","25.4","23.8"
,"Water pump stations 9","0.0","0.0","18.0","52.1","29.9","0.0","0.0","0.0","33.6","13.4","18.5","34.5"
