"Inventory of municipally owned solid waste assets, by urban and rural, and population size, Infrastructure Canada 1 2"
"Frequency: Occasional"
"Table: 34-10-0237-01"
"Release date: 2021-01-21"
"Geography: Canada, Province or territory"
""
""

,,"2018",,,,,,,,
"Geography","Type of municipality by population size","Transfer station assets 3","Composting facilities 4","Materials recovery facilities 5","Anaerobic digestion facilities 6","Engineered landfills (active) 7","Dump sites (active)","Closed sites (inactive engineered landfills and dumps)","Incinerators 8","Energy from waste facilities 9"
,,"Number",,,,,,,,
"Canada","All municipalities","1,687","514","812","60","628","678","1,433","16","8"
,"All urban municipalities","277","185","188","22","182","121","507","7","6"
,"All rural municipalities","1,410","329","624","38","445","557","926","9","2"
"Newfoundland and Labrador ","All municipalities","104","35","33","0","5","56","80","0","0"
,"All urban municipalities","8","7","3","0","5","6","12","0","0"
,"All rural municipalities","96","28","30","0","0","50","68","0","0"
"Prince Edward Island ","All municipalities","0","0","0","0","0","0","0","0","0"
,"All urban municipalities","0","0","0","0","0","0","0","0","0"
,"All rural municipalities","0","0","0","0","0","0","0","0","0"
"Nova Scotia ","All municipalities","26","8","10","0","9","5","18","0","0"
,"All urban municipalities","5","4","2","0","2","0","5","0","0"
,"All rural municipalities","21","4","7","0","7","5","13","0","0"
"New Brunswick ","All municipalities","64","1","9","0","10","0","33","0","0"
,"All urban municipalities","2","1","1","0","0","0","7","0","0"
,"All rural municipalities","61","0","8","0","10","0","26","0","0"
"Quebec ","All municipalities","104","62","249","9","54","21","137","5","2"
,"All urban municipalities","29","13","51","9","22","5","32","5","2"
,"All rural municipalities","76","49","198","0","32","16","105","0","0"
"Ontario","All municipalities","367","99","170","18","164","241","467","1","3"
,"All urban municipalities","60","29","22","4","37","25","214","1","2"
,"All rural municipalities","307","70","148","14","127","216","253","0","1"
"Manitoba","All municipalities","160","60","87","2","71","114","95","5","1"
,"All urban municipalities","23","18","14","2","13","8","44","1","0"
,"All rural municipalities","137","42","73","0","59","106","52","4","1"
"Saskatchewan","All municipalities","383","126","75","0","174","112","203","0","1"
,"All urban municipalities","51","51","18","0","45","33","33","0","1"
,"All rural municipalities","332","75","57","0","129","79","170","0","0"
"Alberta","All municipalities","421","53","145","26","90","46","266","5","0"
,"All urban municipalities","73","33","55","4","31","18","114","0","0"
,"All rural municipalities","348","20","90","23","59","28","153","5","0"
"British Columbia","All municipalities","52","66","27","4","33","13","94","0","1"
,"All urban municipalities","23","27","16","3","23","9","45","0","1"
,"All rural municipalities","28","38","11","1","10","3","49","0","0"
"Yukon","All municipalities","4","3","2","0","4","1","2","0","0"
,"All urban municipalities","1","1","0","0","1","0","1","0","0"
,"All rural municipalities","3","2","2","0","3","1","1","0","0"
"Northwest Territories","All municipalities","2","1","5","0","9","35","24","0","0"
,"All urban municipalities","2","1","5","0","3","4","1","0","0"
,"All rural municipalities","0","0","0","0","6","31","23","0","0"
"Nunavut","All municipalities","0","0","0","0","F","34","F","0","0"
,"All urban municipalities","0","0","0","0","0","12","0","0","0"
,"All rural municipalities","0","0","0","0","F","22","F","0","0"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable



Footnotes:
1,"Figures may not add to totals due to rounding."
2,"Estimates for 2018 may not be comparable to those for 2016 due to improved coverage and definitions as well as changes in survey methodology."
3,"Transfer station assets include facilities at which wastes transported by vehicles involved in collection are transferred to other vehicles that will transport the wastes to a disposal (landfill or incinerator) or recycling facility. Include transfer station assets owned by your organization or leased by your organization through a capital lease agreement."
4,"Composting: A managed, biological process through which organic matter is degraded under aerobic conditions to a relatively stable, humus-like material called compost."
5,"Material recovery facility: A facility in which recyclable materials are removed from waste, or mixed recyclable materials are sorted into distinct categories and prepared for shipment."
6,"Anaerobic digestion: A controlled and managed biological process that uses microorganisms to break down organic material in the absence of oxygen."
7,"Engineered landfill: A landfill designed to meet or exceed jurisdiction of authority requirements for the protection of the environment and human health. The design incorporates both the attributes of the natural environment and supplements them with the necessary engineered systems to achieve the required level of protection."
8,"Incineration: The burning of waste in an incinerator is essentially a rapid oxidation process that generates heat and converts the waste to the gaseous products of combustion, namely carbon dioxide and water vapour, which are released to the atmosphere."
9,"Energy from waste: Technologies that process waste using high temperatures to reduce the quantity of material requiring disposal, stabilize the material requiring disposal, and recover energy and potentially material resources."



"How to cite: Statistics Canada. Table 34-10-0237-01  Inventory of municipally owned solid waste assets, by urban and rural, and population size, Infrastructure Canada"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410023701
