"Population served by drinking water plants 1 2 3 4"
"Frequency: Occasional"
"Table: 38-10-0093-01 (formerly CANSIM 153-0106)"
"Release date: 2021-08-17"
"Geography: Canada, Province or territory, Drainage region"
""
""

"Geography","Type of water source","2011","2013","2015","2017","2019"
"Canada 5",,"Persons",,,,
,"All source water types","28,970,736","29,985,567","30,809,242","31,373,194","32,465,687"
,"Surface water 6","25,173,370","26,004,263","26,811,490","27,251,747","28,285,350"
,"Groundwater 7","3,354,724","3,403,152","3,449,205","3,468,713","3,413,471"
,"Groundwater under the direct influence of surface water (GUDI) 8","442,641","578,152","548,548","652,734","766,866"
"Newfoundland and Labrador","All source water types","412,090","420,262","428,982","440,935","442,341"
,"Surface water 6","379,755","400,873","402,646","413,786","414,244"
,"Groundwater 7","28,096","17,942","23,396","25,709","27,437"
,"Groundwater under the direct influence of surface water (GUDI) 8","F","1,447","2,940","1,440","660"
"Prince Edward Island","All source water types","63,807","67,776","68,876","70,079","82,191"
,"Surface water 6","0","0","0","0","0"
,"Groundwater 7","63,807","67,776","68,876","69,355","81,467"
,"Groundwater under the direct influence of surface water (GUDI) 8","0","0","0","724","724"
"Nova Scotia","All source water types","576,221","579,763","583,051","583,519","599,355"
,"Surface water 6","500,351","501,547","510,872","501,084","512,521"
,"Groundwater 7","71,370","75,945","69,900","80,093","83,435"
,"Groundwater under the direct influence of surface water (GUDI) 8","4,500","2,271","2,279","2,342","3,399"
"New Brunswick","All source water types","380,920","385,141","388,957","412,221","420,147"
,"Surface water 6","224,393","220,242","229,305","235,166","230,646"
,"Groundwater 7","140,923","153,363","153,620","155,925","168,009"
,"Groundwater under the direct influence of surface water (GUDI) 8","15,604","11,537","6,031","21,130","21,492"
"Quebec","All source water types","7,184,732","7,267,882","7,515,166","7,590,609","7,686,429"
,"Surface water 6","6,165,044","6,154,361","6,392,941","6,435,518","6,568,419"
,"Groundwater 7","935,925","1,021,951","1,018,924","1,036,693","1,013,299"
,"Groundwater under the direct influence of surface water (GUDI) 8","83,763","91,570","103,301","118,398","104,711"
"Ontario","All source water types","11,231,770","11,793,835","12,027,748","12,164,015","12,805,996"
,"Surface water 6","9,708,702","10,212,792","10,482,565","10,588,710","11,185,521"
,"Groundwater 7","1,288,678","1,255,966","1,229,860","1,231,422","1,227,498"
,"Groundwater under the direct influence of surface water (GUDI) 8","234,390","325,077","315,323","343,883","392,977"
"Manitoba","All source water types","966,327","972,114","999,082","1,064,042","1,133,538"
