"Waste materials diverted, by type and by source 1 2 3 4"
"Frequency: Every 2 years"
"Table: 38-10-0138-01"
"Release date: 2021-03-08"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Type of materials diverted","Sources of materials prepared for recycling","2018"
"Canada","All materials diverted 5",,"Tonnes"
,,"All sources of diverted materials","9,817,607"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","3,519,689"
,,"Residential sources of diverted materials 6","1,537,059"
,,"Non-residential sources of diverted materials 7","1,982,630"
,"Glass","All sources of diverted materials","391,199"
,,"Residential sources of diverted materials 6","298,052"
,,"Non-residential sources of diverted materials 7","93,147"
,"Ferrous metals","All sources of diverted materials","624,866"
,,"Residential sources of diverted materials 6","114,861"
,,"Non-residential sources of diverted materials 7","510,005"
,"Copper and aluminum","All sources of diverted materials","132,062"
,,"Residential sources of diverted materials 6","40,715"
,,"Non-residential sources of diverted materials 7","91,347"
,"Mixed metals","All sources of diverted materials","116,987"
,,"Residential sources of diverted materials 6","59,862"
,,"Non-residential sources of diverted materials 7","57,125"
,"White goods","All sources of diverted materials","341,569"
,,"Residential sources of diverted materials 6","38,603"
,,"Non-residential sources of diverted materials 7","302,966"
,"Electronics 9 10","All sources of diverted materials","105,270"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","354,559"
,,"Residential sources of diverted materials 6","250,323"
,,"Non-residential sources of diverted materials 7","104,236"
,"Gable top and aseptic containers 11","All sources of diverted materials","25,223"
,,"Residential sources of diverted materials 6","22,205"
,,"Non-residential sources of diverted materials 7","3,018"
,"Textiles 12","All sources of diverted materials","58,895"
,,"Residential sources of diverted materials 6","58,407"
,,"Non-residential sources of diverted materials 7","488"
,"Tires 10 13","All sources of diverted materials","487,904"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
