
name, year, file_name, version, rank, birthplace, Primary_Specialty, Secondary_Speciality, Q_E, S_E, sex, race, team,



ALLEY VIPER,1994,NA,3,NA,NA,"Urban Assault Trooper","Rage Vehicle Driver",NA,NA,male,White,COBRA
BEACH-HEAD,1994,"Sneeden, Wayne R.",3,E-6,"Auburn, Alabama",Small Arms Armorer,Patriot Driver,Ranger,NA,male,NA,GI Joe
DIAL TONE,1994,"Morelli, Jack S.",4,E-4,"Eugene, Oregon",Radio Telecommunications,Infantry,NA,NA,male,White,GI Joe
FLINT,1994,"Faireborne, Dashiell R.",4,WO-2 (Warrant Officer),"Wichita, Kansas",L.A.V. (Land Assault Vehicles) Operator, Desert Paratrooper,NA,NA,male,White,GI Joe
ICE CREAM SOLDIER,1994,"Ragan, Tom-Henry",1,E-5,"Providence, R.I.",Primary Specialty: Fire Operations Expert,Barbecue Chef,Flamethrower Commando,NA,male,NA,GI Joe
LIFELINE,1994,"Steen, Edwin C.",4,E-5,"Seattle, Washington",Medic,Rescue Operations,Rescue Trooper,NA,male,White,GI Joe
MAJOR BLUDD,1994,"Bludd, Sebastian",3,"O-4 Major","Sydney, Australia",Terrorist,"Weapons and Tactics",NA,NA,male,White,NA
METAL-HEAD,1994,"Finlay, Stuart A.",2,NA,"Annapolis, Maryland",Tank Destruction,Hockey Fight Analyst,Anti-Tank Specialist,NA,male,White,GI Joe
NIGHT CREEPER,1994,NA,2,NA,Arctic Field Operations,Ninja Supreme Master,NA,NA,NA,male,NA,COBRA
SHIPWRECK,1994,"Delgado, Hector X.",2,CPO,"Chula Vista, CA",Navy SEAL,"Gunner's Mate",NA,NA,male,Latino,NA,
SNOW STORM,1994,"Suarez, Guilermo",3,E-6,"Havana, Cuba",Arctic Warfare,Cold Weather Survival Instructor,Hi-Tech Snow Trooper,NA,male,Latino,GI Joe
STALKER,1994,"Wilkinson, Lonzo R.",5,E-8,"Detroit, MI",Infantry,Medic/Interpreter,NA,NA,male,Black,GI Joe
VIPER,1994,NA,4,NA,Infantry Trooper,NA,NA,NA,NA,male,White,COBRA
WINDCHILL,1994,"McDonald, Jim",2,E-6,"Loch Lomond, Scotland",Blockbuster Driver,Cold Weather Survival Instructor,Blockbuster Driver,NA,male,White,GI Joe
CARCASS,1994,NA,1,NA,"Quadrant 4, Planet Mirtonia",Mercenary Hunter,Planetary/Alien Destruction,NA,NA,male,Alien,GI Joe
COBRA BLACKSTAR,1994,Unknown,1,NA,NA,Elite Space Pilot,Tactical Squad Leader,NA,NA,male,White,COBRA
COBRA COMMANDER,1994,Classified,7,Cobra Supreme Leader,Classified,NA,NA,NA,NA,male,NA,COBRA
COUNTDOWN,1994,"Dubosky, David D.",3,O-3 (USAF),"Plainfield, New Jersey",Astronaut/Fighter Pilot,Electrical Engineer,NA,NA,male,White,GI Joe
DUKE,1994,"Hauser, Conrad S.",6,E-8,"St. Louis, MO",Airborne Infantryman,Artillery,NA,NA,male,White,NA
EFFECTS,1994,"Beck, Aron",1,E-6,"Fort Worth, Texas",Explosives/Munitions Ordnance,Special Effects Coordinator,NA,NA,male,White,GI Joe
GEARS,1994,"Morrone, Joseph A.",1,O-3,"Westerly, Rhode Island",Chief Engineer (Special Projects),Research and Development,Invention Technician,NA,male,White,GI Joe
