file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2021-08-18-18-32_seed_9135.png	9135	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-32_seed_4258.png	4258	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-34_seed_3200.png	3200	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-36_seed_4161.png	4161	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-36_seed_1940.png	1940	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-37_seed_970.png	970	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-37_seed_2532.png	2532	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-37_seed_3120.png	3120	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-55_seed_416.png	416	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-56_seed_5520.png	5520	runif(2, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-57_seed_476.png	476	runif(2, -1, 1) * x_i^2 - sin(y_i^2)	runif(2, -1, 1) * y_i^3 - cos(x_i^2)
2021-08-18-18-58_seed_6256.png	6256	runif(2, -1, 2) * x_i^2 - sin(y_i^2)	runif(2, -1, 2) * y_i^3 - cos(x_i^2)
2021-08-18-18-59_seed_4082.png	4082	runif(2, -1, 2) * x_i^2 - sin(y_i^3)	runif(2, -1, 2) * y_i^3 - cos(x_i^3)
2021-08-18-19-01_seed_6621.png	6621	runif(2, -2, 2) * x_i^2 - sin(y_i^3)	runif(2, -2, 2) * y_i^3 - cos(x_i^3)
2021-08-18-19-02_seed_6417.png	6417	runif(-2, -2, 2) * x_i^2 - sin(y_i^3)	runif(-2, -2, 2) * y_i^3 - cos(x_i^3)
2021-08-18-19-02_seed_6302.png	6302	runif(-12, -2, 2) * x_i^2 - sin(y_i^3)	runif(-12, -2, 2) * y_i^3 - cos(x_i^3)
2021-08-18-19-03_seed_6868.png	6868	runif(12, -2, 2) * x_i^2 - sin(y_i^3)	runif(12, -2, 2) * y_i^3 - cos(x_i^3)
2021-08-18-19-04_seed_8759.png	8759	runif(12, -2, 12) * x_i^2 - sin(y_i^3)	runif(12, -2, 12) * y_i^3 - cos(x_i^3)
2021-08-18-19-10_seed_9017.png	9017	runif(12, -2, 12) * x_i^2 - sin(y_i^4)	runif(12, -2, 12) * y_i^3 - cos(x_i^4)
2021-08-18-19-11_seed_4674.png	4674	runif(102, -2, 12) * x_i^2 - sin(y_i^4)	runif(102, -2, 12) * y_i^3 - cos(x_i^4)
2021-08-18-19-12_seed_8326.png	8326	runif(102, -2, 312) * x_i^2 - sin(y_i^4)	runif(102, -2, 312) * y_i^3 - cos(x_i^4)
2021-08-18-19-19_seed_4870.png	4870	runif(102, -20, 312) * x_i^2 - sin(y_i^4)	runif(102, -20, 312) * y_i^3 - cos(x_i^4)
2021-08-18-19-20_seed_4433.png	4433	runif(102, -200, 312) * x_i^2 - sin(y_i^4)	runif(102, -200, 312) * y_i^3 - cos(x_i^4)
2021-08-18-19-21_seed_1755.png	1755	runif(102, -200, 312) * x_i^2 - sin(y_i^10)	runif(102, -200, 312) * y_i^3 - cos(x_i^10)
2021-08-18-19-22_seed_9116.png	9116	runif(102, -200, 312) * x_i^2 - sin(y_i^10)	runif(102, -200, 312) * y_i^3 - cos(x_i^10)
2021-08-18-19-23_seed_1958.png	1958	runif(102, -200, 312) * x_i^4 - sin(y_i^10)	runif(102, -200, 312) * y_i^4 - cos(x_i^10)
2021-08-18-19-24_seed_5690.png	5690	runif(102, -200, 312) * x_i^4 - sin(y_i^-2)	runif(102, -200, 312) * y_i^4 - cos(x_i^-2)
2021-08-18-19-25_seed_4481.png	4481	runif(102, -200, -312) * x_i^-4 - sin(y_i^-2)	runif(102, -200, -312) * y_i^-4 - cos(x_i^-2)
2021-08-18-19-25_seed_7047.png	7047	runif(102, -200, -882) * x_i^-4 - sin(y_i^-2)	runif(102, -200, 882) * y_i^-4 - cos(x_i^-2)
2021-08-18-19-25_seed_4370.png	4370	runif(102, -200, -882) * x_i^4 - sin(y_i^-2)	runif(102, -200, 882) * y_i^4 - cos(x_i^-2)
2021-08-18-19-26_seed_629.png	629	runif(102, -200, -882) * x_i^4 - sin(y_i^2)	runif(102, -200, 882) * y_i^4 - cos(x_i^2)
2021-08-18-19-26_seed_2391.png	2391	runif(102, -200, 882) * x_i^4 - sin(y_i^2)	runif(102, -200, 882) * y_i^4 - cos(x_i^2)
2021-08-18-19-27_seed_3950.png	3950	runif(102, -2, 882) * x_i^4 - sin(y_i^2)	runif(102, -2, 882) * y_i^4 - cos(x_i^2)
2021-08-18-19-28_seed_8295.png	8295	runif(102, 500, 882) * x_i^4 - sin(y_i^2)	runif(102, 500, 882) * y_i^4 - cos(x_i^2)
2021-08-18-19-29_seed_265.png	265	runif(502, 500, 882) * x_i^4 - sin(y_i^2)	runif(502, 500, 882) * y_i^4 - cos(x_i^2)
2021-08-18-19-30_seed_2172.png	2172	runif(-502, 500, 882) * x_i^2 - sin(y_i^2)	runif(-502, 500, 882) * y_i^2 - cos(x_i^2)
