
Album,Released,Song_Title,Song_Length,Song_Length_(seconds)
Undertow,1993-04-06,"Intolerance",453,293
Undertow,1993-04-06,"Prison Sex",456,296
Undertow,1993-04-06,Sober,506,306
Undertow,1993-04-06,Bottom,714,434
Undertow,1993-04-06,Crawl Away,530,330
Undertow,1993-04-06,Swamp Song,531,331
Undertow,1993-04-06,Undertow,522,322
Undertow,1993-04-06,4,603,363
Undertow,1993-04-06,Flood,746,466
Opiate,1992-03-10,Sweat,346,226
Opiate,1992-03-10,Hush,248,168
Opiate,1992-03-10,Part of Me,317,197
Opiate,1992-03-10,Cold and Ugly,409,249
Opiate,1992-03-10,Jerk-Off,424,264
Opiate,1992-03-10,Opiate,528,328
Aenima,1996-09-17,Stinkfist,511,311
Aenima,1996-09-17,Eulogy,828,508
Aenima,1996-09-17,H,607,367
Aenima,1996-09-17,Fort Six & 2,604,364
Aenima,1996-09-17,Hooker with a Penis,433,273
Aenima,1996-09-17,Jimmy,524,324
Aenima,1996-09-17,Die Eier von Satan,217,137
Aenima,1996-09-17,Pushit,955,595
Aenima,1996-09-17,Aenema,639,399
Aenima,1996-09-17,Ions,400,240
Aenima,1996-09-17,Third Eye,1347,827
Lateralus,2001-04-15,The Grudge,836,516
Lateralus,2001-04-15,The Patient,713,433
Lateralus,2001-04-15,Schism,647,407
Lateralus,2001-04-15,Parabol,304,184
Lateralus,2001-04-15,Parabola,603,363
Lateralus,2001-04-15,Ticks & Leeches,810,490
Lateralus,2001-04-15,Lateralus,924,564
Lateralus,2001-04-15,Disposition,446,286
Lateralus,2001-04-15,Reflection,1107,667
Lateralus,2001-04-15,Triad,632,392
"10,000 Days",2006-04-02,Vicarious,706,426
"10,000 Days",2006-04-02,Jambi,728,448
"10,000 Days",2006-04-02,Wings of Marie (Pt 1),611,371
"10,000 Days",2006-04-02,"10,000 Days (Wings Pt 2)",1113,673
"10,000 Days",2006-04-02,The Pot,621,381
"10,000 Days",2006-04-02,Rosetta Stoned,1111,671
"10,000 Days",2006-04-02,Intension,721,441
"10,000 Days",2006-04-02,Right in Two,855,535
"10,000 Days",2006-04-02,Viginti Tres,502,302
Fear Inoculum,2019-08-30,Fear Inoculum,1021,621
Fear Inoculum,2019-08-30,Pneuma,1153,713
Fear Inoculum,2019-08-30,Invicible,1244,764
Fear Inoculum,2019-08-30,Descending,1337,817
Fear Inoculum,2019-08-30,Culling Voices,1005,605
Fear Inoculum,2019-08-30,7empest,1544,944
