
movie_title, genre, date, views, sins, box_office_$M, budget_$M,
"Judge Dredd (1995)", Action, "June 10 2021", 166559, 2465, 113.5, 90,
"Heavy Metal (1981)", Animated_Science_Fiction, "June 8 2021", 214213, 125, 20.1, 9.3,
"Brother Bear (2003)", Animated_Adventure,"June 3 2021", 338545, 119, 250.4, 46,
"Exorcism of Emily Rose (2005)", Horror, "June 1 2021",233632, 114, 145.2, 19,
"Buffy the Vampire Slayer (1992)", Horror, "May 27 2021", 285848, 141, 16.6, 7,
"101 Dalmatians (1996)", Animated_Comedy, "May 25 2021",358208,111, 320.7, 60,
"Prince Caspian (2008)", Fantasy, "May 20 2021",326090,123, 419.7, 225,
"Isle of Dogs (2018)", Animated_Comedy, "May 18 2021",268278,112, 64.2, 0,
"10 Things I Hate About You (1999)", Romantic_Comedy,"May 13 2021",330587,102, 60.4, 30,
"Saw VI (2009)", Horror,"May 11 2021",344443, 131, 68.2, 11,
"A Scanner Darkly (2006)", Animated_Thriller, "May 6 2021", 207184, 148, 7.7, 8.7,
"Resident Evil: Afterlife (2010)", Horror,"May 4 2021",483953,126, 300.2, 60,
"Jerry Maguire (1996)",Romantic_Comedy, "April 29 2021", 192506, 119, 273.6, 50,
"Wonder Woman 1984 (2020)",Superhero, "April 27 2021", 832376, 143, 166.5, 200,
"Soul (2020)", Comedy_Drama,"April 22 2021",866766,128,118.3, 150,
"Harold and Kumar Go to White Castle (2004)", Stoner_Comedy,"April 20 2021",420642,138.5, 23.9, 9,
"Alien vs. Predator (2004)", Science_Fiction, "April 15 2021", 632421,130, 177.4, 60,
"Speed Racer (2008)", Sports_Action, "April 13 2021",471249,126, 93.9, 120,
"Enchanted (2007)","Animated, Musical, Fantasy","April 8 2021",436477,189, 340.5, 85,
"Prince of Persia (2010)", Fantasy_Action,"April 6 2021",498238,137, 336.4, 200,
"The Mighty Ducks (1992)", Sports_Action,"April 1 2021", 332820,158, 50.8, 14,
"Napoleon Dynamite (2004)",Comedy, "March 30 2021", 610227,111, 46.1, "400,000",
"Galaxy Quest (1999)",Science_Fiction, "March 25 2021", 456370,116, 90.7, 45,
"Legend of the Guardians (2010)", Animated_Fantasy,"March 23 2021", 391406,135, 140.1, 80,
"Deja Vu (2006)",Science_Fiction,"March 18 2021",237224,106, 180.6, 75,
"Office Space (1999)",Comedy, "March 16 2021", 489272, 110,12.2, 10,
"Superman 3 (1983)",Superhero, "March 11 2021", 387084,236,80.2, 39,
"Last Action Hero (1993)",Fantasy, Action,"March 9 2021", 315709,122, 137.3, 85,
"The League of Extraordinary Gentlemen (2003)", Superhero,"March 4 2021",602482,116, 179.3, 78,
"Coming to America (1988)", Romantic_Comedy,"March 2 2021",659073,97, 350, 36,
"Snakes On A Plane (2006)",Action, "Feb 25 2021",1090406, 100135, 62, 33,
"Donnie Darko (2001)", Science_Fiction, "Feb 23 2021", 410024, 102, 7.5, 4.5,
"Tenet (2020)", Science_Fiction,"Feb 18 2021", 766678, 71, 363.7, 200,
"Friday (1995)", Stoner_Comedy, "Feb 16 2021", 536347, 112, 27.4, 3.5,
"The Phantom of the Opera (2004)",Musical_Drama,"Feb 11 2021", 346594, 118, 154.6, 80,
"500 Days of Summer (2009)", Romantic_Comedy, "Feb 9 2021", 298551,120, 60.7, 7.5,
