
movie_title, year, genre, movie_budget, box_office, director, movie_length_(min),
"He Knows You're Alone", 1980, Slasher, 250000, 4.9e6, Armand Mastroianni,94,
"Splash", 1984, Romantic_Comedy, 11e6, 69.e6,Ron Howard, 111,
"Bachelor Party", 1984, Comedy, 7e6, 38.4e6,Neal Israel,105,
"The Man with One Red Shoe", 1985, Comedy, 16e6, 8.6e6,Stan Dragoti,92,
"Volunteers", 1985, Comedy, 10e, 19.e6,Nicholas Meyer,107,
"The Money Pit", 1986, Comedy_Drama, 10e, 55e,Richard Benjamin,91,
"Nothing in Common", 1986, Comedy_Drama, 12e, 32.3e,Garry Marshall,118,
"Every Time We Say Goodbye", 1986, Drama, 3.7e, 278623,Moshé Mizrahi,95,
"Dragnet", 1987, Comedy, 20e, 66.7e,Tom Mankiewicz,106,
"Big", 1988, Comedy_Drama, 1e6, 151.7e,Penny Marshall,104,
"Punchline", 1988, Comedy_Drama, 15e, 21e,David Seltzer,122,
"The 'Burbs", 1989, Comedy_Drama, 1e6, 49.1e,	Joe Dante,101,
"Turner & Hooch", 1989, Comedy, 13e, 71.1e,Roger Spottiswoode,99,
"Joe Versus the Volcano", 1990, Romantic_Comedy, 25e, 39.4e,John Patrick Shanley,102,
"The Bonfire of the Vanities", 1990, Comedy, 47e, 15.6e,	Brian De Palma,126,
"Radio Flyer", 1992, Fantasy_Drama, 35e, 4.6e,	Richard Donner,114,
"A League of Their Own", 1992, Sports_Drama, 40e, 132.4e,Penny Marshall,128,
"Sleepless in Seattle", 1993, Romantic_Comedy, 21e, 227e,Nora Ephron,105,
"Philadelphia", 1993, Drama, 26e, 206.7e,	Jonathan Demme,126,
"Forrest Gump", 1994, Drama, 55e, 683.1e,Robert Zemeckis,142,
"Apollo 13", 1995, Drama, 52e, 355.2e,Ron Howard,140,
"Toy Story", 1995, Animated_Comedy, 30e, 373e,John Lasseter,81,
"That Thing You Do!", 1996, Comedy, 26e, 34.6e,Tom Hanks,108,
"Saving Private Ryan", 1998, War, 70e, 482.3e,Steven Spielberg,169,
"You've Got Mail", 1998, Romantic_Comedy, 65e,250.e6,Nora Ephron,119,
"Toy Story 2", 1999, Animated_Comedy, 90e, 497.4e,John Lasseter,92,
"The Green Mile", 1999, Drama, 60e, 286.8,Frank Darabont,189,
"Cast Away", 2000, Drama, 90e, 429.6e,Robert Zemeckis,144,
"Road to Perdition", 2002, Crime, 80e, 183.4e,	Sam Mendes,117,
"Catch Me If You Can", 2002, Crime, 52e, 352.1e,Steven Spielberg,141,
"The Ladykillers", 2004, Comedy, 35e, 76.7e, Coen Brothers, 104,
"The Terminal", 2004, Comedy_Drama, 60e, 219.4e,Steven Spielberg,128,
"Elvis Has Left the Building", 2004, Comedy, 11.5e, 0,	Joel Zwick,90,
"The Polar Express", 2004, Animated_Adventure, 165e, 314.1e, Robert Zemeckis,100,
"The Da Vinci Code",2006, Mystery_Thriller, 125e, 760e,Ron Howard, 149,
"Cars", 2006, Animated_Comedy,120e, 462e, John Lasseter,117,
"Charlie Wilson's War", 2007, Comedy_Drama, 75e, 119.5e, Mike Nichols, 100,
"The Simpsons Movie", 2007, Animated_Comedy, 75e, 536.4e, David Silverman, 87,
"The Great Buck Howard", 2008, Comedy_Drama, 0, 1e6, Sean McGinly,90,
"Angels & Demons",2009, Mystery_Thriller, 150e, 485.6e, Ron Howard, 138,
"Toy Story 3", 2010, Animated_Comedy, 200e, 1.067e6, Lee Unkrich,103,
"Larry Crowne", 2011, Romantic_Comedy, 30e, 72e6, Tom Hanks, 99,
"Extremely Loud & Incredibly Close", 2011, Drama, 40e, 55.2e, Stephen Daldry,129,
"Cloud Atlas", 2012, Science_Fiction, 146.7e, 130.5e, Wachowskis, 172,
"Captain Phillips", 2013, Drama, 55e, 220.6e, Paul Greengrass, 134,
"Saving Mr. Banks", 2013, Drama,35e, 117.9e, John Lee Hancock, 125,
"Bridge of Spies", 2015, Drama, 40e, 165.5, Steven Spielberg,141,
"A Hologram for the King", 2016, Comedy_Drama, 35e, 11.e6, Tom Tykwer, 97,
"Sully", 2016, Drama, 60e, 240.e6, Clint Eastwood,96,
"California Typewriter", 2016, Documentary,0,0, Doug Nichol, 103,
"Inferno", 2016, Mystery_Thriller,75e, 220e, Ron Howard,121,
"The Circle", 2017, Thriller, 1e6, 40.7e,James Ponsoldt, 110,
"The Post", 2017, Thriller, 50e, 179.e6, Steven Spielberg,116,
"Toy Story 4", 2019, Animated_Comedy, 200e, 1.073e6, Josh Cooley,100,
"A Beautiful Day in the Neighborhood", 2019, Drama, 25e, 68.3e, Marielle Heller,109,
"Greyhound", 2020, War, 50.3e,0,Aaron Schneider, 91,
"News of the World", 2020, Drama, 3e6, 12.7e,Paul Greengrass,118,
