
movie_title, year, genre, director, gender, duration, budget, box_office, 
Toy Story 3, 2010, Animated_Comedy, Lee Unkrich, male, 103, 200e6, 1.067e9,
Alice in Wonderland, 2010, Fantasy_Adventure, Tim Burton, male, 108, 200e6, 1.025e9,
Harry Potter and the Deathly Hallows – Part 1, 2010, Fantasy, David Yates, male, 146, 250e6,977e6,
Inception, 2010, Science_Fiction_Drama, Christopher Nolan, male, 148, 160e6, 836.8e6,
Shrek Forever After,2010, Animated_Comedy,Mike Mitchell,male,  93, 165e6, 752.6e6,
The Twilight Saga: Eclipse, 2010, Romantic_Fantasy, David Slade, male, 123, 68e6, 698.4e6,
Iron Man 2, 2010, Superhero, Jon Favreau, male, 125, 200e6, 623.9e6,
Tangled,2010,Animated_Musical, Nathan Greno & Byron Howard, male, 100, 260e6, 592.4e6,
Despicable Me, 2010, Animated_Comedy, Pierre Coffin & Chris Renaud, male, 95, 69e6, 543.1e6,
How to Train Your Dragon, 2010, Animated_Action, Chris Sanders & Dean DeBlois, male, 98, 165e6, 494.9e6,
Harry Potter and the Deathly Hallows – Part 2, 2011, Fantasy, David Yates, male, 130, 250e6, 1.342e9,
Transformers: Dark of the Moon, 2011, Science_Fiction_Action, Michael Bay, male, 154, 195e6, 1.124e9,
Pirates of the Caribbean: On Stranger Tides, 2011, Fantasy, Rob Marshall,male,  137, 410.6e6, 1.046e9,
The Twilight Saga: Breaking Dawn – Part 1, 2011, Romantic_Fantasy,  Bill Condon, male,  117, 127e6, 712.2e6,
Mission: Impossible – Ghost Protocol, 2011, Action_Spy, Brad Bird , male, 133, 145e6, 694.7e6,
Kung Fu Panda 2, 2011, Animated_Comedy, Jennifer Yuh Nelson, female, 91, 150e6, 665.7e6,
Fast & Furious 5, 2011, Action, Justin Lin,male, 130,  125e6, 626.1e6,
The Hangover Part II, 2011, Comedy, Todd Phillips,male, 101, 80e6, 586.8e6,
The Smurfs,2011, Animated_Comedy, Raja Gosnell, male, 103, 110e6, 563.7e6,
Cars 2, 2011, Animated_Comedy, John Lasseter, male, 106, 200e6, 562.1e6,
Marvel's The Avengers, 2012, Superhero, Joss Whedon, male, 143, 220e6, 1.519e9,
Skyfall, 2012, Action_Spy, Sam Mendes, male, 143, 200e6, 1.109e9,
The Dark Knight Rises,2012,Superhero,Christopher Nolan, male, 165, 300e6, 1.081e9,
The Hobbit: An Unexpected Journey, 2012, Fantasy_Adventure, Peter Jackson, male, 169, 315e6, 1.017e9,
Ice Age: Continental Drift, 2012, Animated_Adventure, Steve Martino, male, 88, 95e6, 877.2e6,
The Twilight Saga: Breaking Dawn – Part 2, 2012, Romantic_Fantasy, Bill Condon, male, 115, 136.2e6, 829.7e6,
The Amazing Spider-Man, 2012, Superhero, Marc Webb, male, 136, 230e6, 757.9e6,
Madagascar 3: Europe's Most Wanted , 2012, Animated_Comedy, Eric Darnell, male, 93, 145e6, 746.9e6,
The Hunger Games , 2012, Science_Fiction_Action, Gary Ross, male, 142, 78e6, 694.4e6,
Men in Black 3, 2012, Action_Comedy, Barry Sonnenfeld, male,106, 225e6, 624e6,
Frozen, 2013, Animated_Musical, Chris Buck & Jennifer Lee, duo, 102, 150e6, 1.280e9,
Iron Man 3, 2013, Superhero, Shane Black, male, 131, 200e6, 1.215e9,
Despicable Me 2, 2013, Animated_Comedy, Pierre Coffin, male, 98, 76e6, 970.8e6,
The Hobbit: The Desolation of Smaug, 2013, Fantasy_Adventure, Peter Jackson, male, 161, 191.2e6, 958.4e6,
The Hunger Games: Catching Fire, 2013, Science_Fiction_Action, Francis Lawrence, male, 146, 140e6, 865e6,
Fast & Furious 6, 2013, Action, Justin Lin, male, 130, 260e6, 788.7e6,
Monsters University, 2013, Animated_Comedy, Dan Scanlon, male, 104, 200e6, 743.6e6,
Gravity,2013,Science_Fiction_Thriller, Alfonso Cuarón, male, 91, 130e6, 723.2e6,
Man of Steel,2013, Superhero, Zack Snyder, male, 143, 258e6, 668e6,
Thor: The Dark World, 2013, Superhero, Alan Taylor, male, 112, 170e6, 644.8e6,
Transformers: Age of Extinction ,2014 , Science_Fiction_Action, Michael Bay, male, 165, 210e6, 1.104e9,
The Hobbit: The Battle of the Five Armies,2014,Fantasy_Adventure, Peter Jackson, male, 144, 300e6, 956e6,
Guardians of the Galaxy , 2014, Superhero, James Gunn, male, 122, 232.3e6, 772.8e6,
Maleficent,2014 , Fantasy_Adventure, Robert Stromberg, male, 97, 263e6, 758.5e6,
The Hunger Games: Mockingjay – Part 1 , 2014, Science_Fiction_Action, Francis Lawrence, male, 123, 140e6, 755.3e6,
X-Men: Days of Future Past,2014, Superhero, Bryan Singer, male, 131, 220e6, 746e6,
Captain America: The Winter Soldier,2014, Superhero, Anthony Russo, male, 136, 177e6, 714.4e6,
Dawn of the Planet of the Apes,2014 , Science_Fiction_Action, Matt Reeves, male, 130, 170e6, 710.6e6,
The Amazing Spider-Man 2 , 2014, Superhero, Marc Webb, male, 141, 293e6, 709e6,
Interstellar,2014, Science_Fiction_Thriller, Christopher Nolan, male, 169, 165e6, 701.8e6,
Star Wars: The Force Awakens, 2015, Space_Opera, J. J. Abrams, male, 135, 306e6, 2.071e9,
Jurassic World,2015, Science_Fiction_Action, Colin Trevorrow, male, 124, 150e6, 1.67e9,
Fast & Furious 7, 2015, Action, James Wan, male, 137, 250e6, 1.516e9,
Avengers: Age of Ultron,2015 , Superhero, Joss Whedon, male, 141, 495.2e6, 1.403e9,
Minions, 2015,Animated_Comedy, Pierre Coffin, male, 91, 74e6, 1.159e9,
Spectre,2015, Action_Spy, Sam Mendes, male, 148, 300e6, 880.7e6,
Inside Out, 2015, Animated_Comedy, Pete Docter, male, 95, 175e6, 858.8e6,
Mission: Impossible – Rogue Nation ,2015, Action_Spy, Christopher McQuarrie, male, 131, 150e6, 682.7e6,
The Hunger Games: Mockingjay – Part 2 , 2015, Science_Fiction_Action, Francis Lawrence, male, 137, 160e6, 658.3e6,
The Martian,2015, Science_Fiction_Thriller, Ridley Scott, male, 141, 108e6, 630.2e6,
Captain America: Civil War , 2016, Superhero, Russo Brothers, male, 147, 250e6, 1.153e9,
Rogue One: A Star Wars Story, 2016, Space_Opera, Gareth Edwards,male, 133, 265e6, 1.056e9,
Finding Dory , 2016, Animated_Adventure, Andrew Stanton, male, 97, 200e6, 1.029e9,
Zootopia , 2016, Animated_Adventure, Byron Howard, male, 108, 150e6, 1.024e9,
The Jungle Book , 2016, Fantasy_Adventure, Jon Favreau,male,106, 177e6, 966.6e6,
The Secret Life of Pets ,2016, Animated_Comedy, Chris Renaud,male, 86, 75e6, 875.5e6,
Batman v Superman: Dawn of Justice, 2016, Superhero, Zack Snyder, male, 152, 300e6, 873.6e6,
Fantastic Beasts and Where to Find Them, 2016, Fantasy_Adventure, David Yates, male, 133, 200e6, 814e6,
Deadpool , 2016, Superhero, Tim Miller,male, 108, 58e6, 782.6e6,
Suicide Squad , 2016, Superhero, David Ayer, male, 123, 175e6, 746.8e6,
Star Wars: The Last Jedi, 2017, Space_Opera, Rian Johnson, male, 152, 317e6, 1.333e9,
Beauty and the Beast, 2017, Romantic_Fantasy, Bill Condon, male, 129, 255e6, 1.264e9,
Fast & Furious 8, 2017, Action, F. Gary Gray, male, 136, 270e6, 1.236e9, Black,
Despicable Me 3 ,2017, Animated_Comedy, Pierre Coffin, male, 89, 80e6, 1.035e9,
Jumanji: Welcome to the Jungle , 2017, Fantasy_Adventure, Jake Kasdan, male, 119, 150e6, 962.2e6,
Spider-Man: Homecoming, 2017, Superhero, Jon Watts, male, 133, 175e6, 880.2e6,
Wolf Warrior 2, 2017, Action, Wu Jing, male, 121, 30.1e6, 874e6, Chinese,
Guardians of the Galaxy Vol. 2, 2017, Superhero, James Gunn, male, 137, 200e6, 853.8e6,
Thor: Ragnarok,2017, Superhero, Taika Waititi, male, 130, 180e6, 854e6,
Wonder Woman , 2017, Superhero, Patty Jenkins, female, 141, 150e6, 822.3e6,
